route_id,service_id,trip_id,trip_headsign
2,Rail MTuWThF-XHol_20260823,KPL__1__6319__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__1__9257__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__8272__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9216__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__0__3656__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
6,Rail MTuWThF-XHol_20260823,JVL__0__9282__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail SaSu + Hol_20260823,KPL__0__6448__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
2,Rail MTuWThF-XHol_20260823,KPL__1__6237__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2607__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__1__6469__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__1__6447__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__0__6416__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
5,Rail MTuWThF-XHol_20260823,HVL__0__3662__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
6,Rail SaSu + Hol_20260823,JVL__0__9338__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
6,Rail SaSu + Hol_20260823,JVL__1__9329__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__0__9346__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
6,Rail MTuWThF-XHol_20260823,JVL__1__9213__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__6312__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
6,Rail SaSu + Hol_20260823,JVL__1__9333__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__1__9351__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
5,Rail SaSu + Hol_20260823,HVL__0__3824__RAIL__Rail_SaSu_+_Hol_20260823,Upper Hutt
6,Rail MTuWThF-XHol_20260823,JVL__0__9252__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail MTuWThF-XHol_20260823,KPL__1__6231__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail Sa-XSun_20260823,HVL__0__3874__RAIL__Rail_Sa-XSun_20260823,Upper Hutt
2,Rail MTuWThF-XHol_20260823,KPL__0__8222__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
2,Rail SaSu + Hol_20260823,KPL__1__6411__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__0__3650__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
5,Rail Sa_20260823,HVL__1__3861__RAIL__Rail_Sa_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__1__9359__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9238__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail SaSu + Hol_20260823,KPL__0__6460__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
2,Rail SaSu + Hol_20260823,KPL__1__6417__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__0__9354__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
5,Rail SaSu + Hol_20260823,HVL__0__3826__RAIL__Rail_SaSu_+_Hol_20260823,Upper Hutt
5,Rail MTuWThF-XHol_20260823,HVL__1__4603__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9200__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail Sa-XSun_20260823,KPL__0__6476__RAIL__Rail_Sa-XSun_20260823,Waikanae
2,Rail MTuWThF-XHol_20260823,KPL__0__8220__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
6,Rail SaSu + Hol_20260823,JVL__1__9337__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2613__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9278__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
6,Rail MTuWThF-XHol_20260823,JVL__1__9231__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__6242__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
6,Rail MTuWThF-XHol_20260823,JVL__0__9220__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
6,Rail SaSu + Hol_20260823,JVL__1__9389__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
5,Rail SaSu + Hol_20260823,HVL__1__3863__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__1__9315__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__1__6427__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__0__4622__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
6,Rail Sa_20260823,JVL__0__9318__RAIL__Rail_Sa_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__0__4614__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
4,Rail F-XHol_20260823,WRL__1__1611__RAIL__Rail_F-XHol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__0__9344__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
6,Rail SaSu + Hol_20260823,JVL__1__9393__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
3,Rail MEL WEST_20260823,MEL__1__5645__RAIL__Rail_MEL_WEST_20260823,Wellington Station
3,Rail MEL WEST_20260823,MEL__1__5639__RAIL__Rail_MEL_WEST_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__8210__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
5,Rail MTuWThF-XHol_20260823,HVL__1__4601__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9254__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__0__3658__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
5,Rail MTuWThF-XHol_20260823,HVL__1__2637__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
3,Rail MEL WEST_20260823,MEL__1__5635__RAIL__Rail_MEL_WEST_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__1__9269__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__1__9207__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
4,Rail MTuWThF-XHol_20260823,WRL__0__1608__RAIL__Rail_MTuWThF-XHol_20260823,Masterton
2,Rail SaSu + Hol_20260823,KPL__0__6442__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
2,Rail MTuWThF-XHol_20260823,KPL__0__6344__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
5,Rail SaSu + Hol_20260823,HVL__1__3811__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9218__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
6,Rail MTuWThF-XHol_20260823,JVL__1__9267__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail SaSu + Hol_20260823,HVL__0__3846__RAIL__Rail_SaSu_+_Hol_20260823,Upper Hutt
2,Rail MTuWThF-XHol_20260823,KPL__0__6348__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
5,Rail MTuWThF-XHol_20260823,HVL__0__2638__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
5,Rail MTuWThF-XHol_20260823,HVL__0__3616__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
3,Rail MEL WEST_20260823,MEL__1__5627__RAIL__Rail_MEL_WEST_20260823,Wellington Station
4,Rail MTuWThF-XHol_20260823,WRL__1__1601__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__0__9384__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__1__3645__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9274__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail SaSu + Hol_20260823,KPL__1__6423__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__6328__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
2,Rail SaSu + Hol_20260823,KPL__1__6451__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__8218__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
5,Rail F-XHol_20260823,HVL__0__3666__RAIL__Rail_F-XHol_20260823,Upper Hutt
6,Rail Sa-XSun_20260823,JVL__0__9398__RAIL__Rail_Sa-XSun_20260823,Johnsonville
2,Rail SaSu + Hol_20260823,KPL__1__6421__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
4,Rail F-XHol_20260823,WRL__0__1612__RAIL__Rail_F-XHol_20260823,Masterton
5,Rail MTuWThF-XHol_20260823,HVL__0__2640__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
2,Rail SaSu + Hol_20260823,KPL__1__6409__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__1__6223__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__1__6419__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__0__6438__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
6,Rail MTuWThF-XHol_20260823,JVL__0__9212__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
5,Rail F-XHol_20260823,HVL__0__3668__RAIL__Rail_F-XHol_20260823,Upper Hutt
2,Rail SaSu + Hol_20260823,KPL__0__6426__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
2,Rail SaSu + Hol_20260823,KPL__1__6463__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
4,Rail SaSu + Hol (WRL)_20260823,WRL__0__1616__RAIL__Rail_SaSu_+_Hol_(WRL)_20260823,Masterton
6,Rail MTuWThF-XHol_20260823,JVL__0__9230__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail SaSu + Hol_20260823,KPL__0__6472__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
2,Rail MTuWThF-XHol_20260823,KPL__0__6354__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
6,Rail MTuWThF-XHol_20260823,JVL__0__9272__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__0__4624__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
6,Rail SaSu + Hol_20260823,JVL__0__9328__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__0__2614__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
6,Rail SaSu + Hol_20260823,JVL__0__9323__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
5,Rail MTuWThF-XHol_20260823,HVL__1__2605__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
3,Rail MEL WEST_20260823,MEL__0__5608__RAIL__Rail_MEL_WEST_20260823,Western Hutt
