route_id,service_id,trip_id,trip_headsign
L1-5029,GCLR 26_27-43820,38495027-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495028-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495030-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495031-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495033-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495034-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495036-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495040-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495041-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495043-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495044-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495046-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495047-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495049-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495050-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495052-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495053-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495055-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495056-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495058-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495062-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495063-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495065-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495066-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495068-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495069-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495071-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495072-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495074-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495075-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495077-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495078-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495080-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495081-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495083-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495084-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495086-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38495090-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38495092-GCLR 26_27-43820,Helensvale
